insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (1, 5, 'agland0', 6);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (2, 20, 'varkin1', 89);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (3, 39, 'elaite2', 99);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (4, 28, 'ksaunper3', 52);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (5, 53, 'ncunnane4', 77);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (6, 35, 'cgeffen5', 29);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (7, 68, 'ndurek6', 50);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (8, 83, 'spentelow7', 11);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (9, 53, 'gshepheard8', 80);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (10, 80, 'tcornhill9', 34);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (11, 25, 'geffaunta', 71);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (12, 99, 'mgrimbleb', 22);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (13, 96, 'scuschieric', 84);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (14, 66, 'pmoorheadd', 32);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (15, 81, 'ghallgathe', 15);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (16, 77, 'bgerif', 70);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (17, 23, 'gminigog', 11);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (18, 78, 'amurcutth', 34);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (19, 6, 'dqueenboroughi', 94);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (20, 29, 'rmacshirriej', 1);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (21, 25, 'eoldeyk', 31);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (22, 33, 'jberzonsl', 69);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (23, 10, 'apenwrightm', 54);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (24, 96, 'bcarlonin', 65);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (25, 73, 'aropckeo', 7);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (26, 11, 'gmushetp', 45);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (27, 88, 'lreddyq', 52);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (28, 66, 'istrettellr', 42);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (29, 62, 'amawditts', 15);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (30, 72, 'livanisovt', 21);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (31, 72, 'rsimonsonu', 43);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (32, 23, 'scharrettv', 95);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (33, 13, 'tbatchanw', 96);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (34, 15, 'jbernhardtx', 95);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (35, 27, 'lbonnetty', 6);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (36, 3, 'keastmeadz', 43);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (37, 37, 'isalliere10', 72);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (38, 8, 'tcyson11', 7);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (39, 42, 'ccurwood12', 38);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (40, 22, 'rkitt13', 38);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (41, 36, 'aatwel14', 4);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (42, 80, 'alowrie15', 67);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (43, 93, 'rmckague16', 80);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (44, 87, 'yleber17', 29);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (45, 37, 'sreese18', 78);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (46, 78, 'nstandell19', 55);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (47, 88, 'tsillito1a', 83);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (48, 90, 'estegell1b', 98);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (49, 31, 'rkenan1c', 61);
insert into JOUEUR (joueur_id, points, pseudonyme, quantitéarmes) values (50, 79, 'rthresh1d', 63);
