insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (1, 'Ilene', 47, 18);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (2, 'Alfy', 159, 22);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (3, 'Perceval', 349, 18);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (4, 'Maddy', 427, 4);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (5, 'Jaclyn', 229, 14);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (6, 'Tobey', 653, 7);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (7, 'Reinold', 568, 25);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (8, 'Gareth', 851, 22);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (9, 'Thatcher', 853, 9);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (10, 'Catie', 137, 18);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (11, 'Michelle', 605, 22);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (12, 'Welch', 76, 21);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (13, 'Caryl', 115, 22);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (14, 'Florentia', 560, 8);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (15, 'Cullan', 574, 14);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (16, 'Griffie', 854, 6);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (17, 'Felipe', 153, 18);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (18, 'Lisetta', 540, 18);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (19, 'Laryssa', 940, 23);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (20, 'Trixi', 989, 8);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (21, 'Kaycee', 629, 16);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (22, 'Anders', 728, 15);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (23, 'Marji', 437, 3);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (24, 'Jonas', 400, 17);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (25, 'Abigale', 338, 14);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (26, 'Gwenora', 650, 10);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (27, 'Zulema', 917, 14);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (28, 'Gaultiero', 135, 5);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (29, 'Violetta', 245, 24);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (30, 'Shurlocke', 403, 6);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (31, 'Nahum', 442, 16);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (32, 'Neysa', 123, 16);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (33, 'Marley', 803, 24);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (34, 'Marlon', 919, 21);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (35, 'Gaston', 841, 3);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (36, 'Wilfred', 891, 21);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (37, 'Darrelle', 343, 25);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (38, 'Fletcher', 906, 5);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (39, 'Hatti', 943, 19);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (40, 'Risa', 90, 10);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (41, 'Kally', 701, 23);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (42, 'Mycah', 435, 12);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (43, 'Saundra', 798, 23);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (44, 'Lem', 107, 7);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (45, 'Tibold', 209, 10);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (46, 'Marchelle', 941, 16);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (47, 'Leonid', 263, 12);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (48, 'Tobe', 225, 21);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (49, 'Bondie', 621, 23);
insert into t_joueur (joueur_id, pseudonyme, points, quantitéarmes) values (50, 'Creigh', 304, 25);
